data,post_list,sum_list
19,16.0,248.0
17,17.0,232.0
8,17.0,249.0
14,16.0,266.0
9,16.0,250.0
17,17.0,234.0
7,18.0,217.0
11,19.0,199.0
15,20.0,180.0
13,21.0,160.0
23,22.0,139.0
9,23.0,117.0
12,23.0,140.0
9,23.0,117.0
17,24.0,94.0
10,24.0,118.0
16,23.0,142.0
8,22.0,165.0
16,21.0,187.0
17,21.0,166.0
18,21.0,187.0
9,21.0,166.0
9,22.0,145.0
14,22.0,167.0
15,22.0,145.0
13,23.0,123.0
6,23.0,146.0
19,23.0,123.0
13,24.0,100.0
21,25.0,76.0
5,26.0,51.0
17,27.0,25.0
12,27.0,52.0
9,27.0,25.0
11,28.0,-2.0
10,28.0,26.0
18,27.0,54.0
16,26.0,81.0
14,25.0,107.0
9,25.0,82.0
17,26.0,57.0
17,27.0,31.0
17,28.0,4.0
13,29.0,-24.0
8,29.0,5.0
8,28.0,34.0
16,27.0,62.0
15,27.0,35.0
9,28.0,8.0
16,28.0,36.0
20,27.0,64.0
15,27.0,37.0
18,27.0,64.0
7,27.0,37.0
21,28.0,10.0
19,29.0,-18.0
3,30.0,-47.0
17,31.0,-77.0
9,32.0,-108.0
24,32.0,-76.0
11,32.0,-108.0
14,32.0,-76.0
12,31.0,-44.0
14,30.0,-13.0
5,30.0,-43.0
23,31.0,-73.0
22,31.0,-42.0
11,31.0,-73.0
10,31.0,-42.0
19,31.0,-73.0
24,31.0,-42.0
17,31.0,-73.0
13,32.0,-104.0
9,33.0,-136.0
12,33.0,-103.0
18,32.0,-70.0
11,32.0,-102.0
14,32.0,-70.0
7,32.0,-102.0
10,32.0,-70.0
9,32.0,-102.0
7,33.0,-134.0
21,34.0,-167.0
22,34.0,-133.0
15,34.0,-167.0
13,35.0,-201.0
11,36.0,-236.0
17,37.0,-272.0
18,37.0,-235.0
7,37.0,-272.0
20,37.0,-235.0
23,37.0,-272.0
11,38.0,-309.0
18,38.0,-271.0
17,38.0,-309.0
17,39.0,-347.0
4,39.0,-308.0
19,39.0,-347.0
21,40.0,-386.0
6,40.0,-346.0
12,39.0,-306.0
18,38.0,-267.0
12,37.0,-229.0
14,36.0,-192.0
11,36.0,-228.0
2,36.0,-192.0
17,36.0,-228.0
11,37.0,-264.0
4,37.0,-227.0
16,36.0,-190.0
9,36.0,-226.0
3,37.0,-262.0
9,38.0,-299.0
16,38.0,-261.0
11,38.0,-299.0
11,39.0,-337.0
16,39.0,-298.0
13,39.0,-337.0
23,40.0,-376.0
20,40.0,-336.0
19,40.0,-376.0
16,40.0,-336.0
16,39.0,-296.0
21,39.0,-335.0
8,39.0,-296.0
15,39.0,-335.0
10,39.0,-296.0
21,39.0,-335.0
14,39.0,-296.0
11,39.0,-335.0
12,39.0,-296.0
11,39.0,-335.0
20,39.0,-296.0
16,38.0,-257.0
6,37.0,-219.0
20,36.0,-182.0
6,35.0,-146.0
15,35.0,-181.0
12,35.0,-146.0
14,34.0,-111.0
17,34.0,-145.0
19,35.0,-179.0
10,35.0,-144.0
14,34.0,-109.0
12,33.0,-75.0
19,33.0,-108.0
15,34.0,-141.0
8,34.0,-107.0
10,33.0,-73.0
17,33.0,-106.0
13,34.0,-139.0
12,34.0,-105.0
19,34.0,-139.0
14,34.0,-105.0
8,33.0,-71.0
6,32.0,-38.0
14,31.0,-6.0
10,30.0,25.0
13,30.0,-5.0
22,30.0,25.0
12,29.0,55.0
16,28.0,84.0
13,28.0,56.0
15,29.0,28.0
18,29.0,57.0
19,29.0,28.0
18,29.0,57.0
14,28.0,86.0
8,27.0,114.0
18,26.0,141.0
10,25.0,167.0
11,25.0,142.0
10,25.0,167.0
10,24.0,192.0
19,24.0,168.0
13,25.0,144.0
7,26.0,119.0
15,27.0,93.0
13,28.0,66.0
18,28.0,94.0
7,28.0,66.0
12,28.0,94.0
17,28.0,66.0
20,28.0,94.0
17,28.0,66.0
19,29.0,38.0
12,29.0,67.0
8,28.0,96.0
19,28.0,68.0
14,28.0,96.0
19,28.0,68.0
15,29.0,40.0
10,29.0,69.0
21,29.0,40.0
17,30.0,11.0
7,31.0,-19.0
10,31.0,12.0
22,30.0,43.0
10,29.0,73.0
14,28.0,102.0
12,27.0,130.0
16,26.0,157.0
9,26.0,131.0
13,27.0,105.0
23,28.0,78.0
3,29.0,50.0
22,29.0,79.0
11,29.0,50.0
21,30.0,21.0
11,31.0,-9.0
11,32.0,-40.0
10,32.0,-8.0
6,31.0,24.0
17,31.0,-7.0
6,31.0,24.0
16,30.0,55.0
13,30.0,25.0
10,30.0,55.0
13,30.0,25.0
9,31.0,-5.0
6,31.0,26.0
11,31.0,-5.0
1,32.0,-36.0
20,32.0,-4.0
14,31.0,28.0
15,31.0,-3.0
7,32.0,-34.0
8,32.0,-2.0
20,31.0,30.0
15,31.0,-1.0
17,32.0,-32.0
20,32.0,0.0
19,32.0,-32.0
8,32.0,0.0
12,31.0,32.0
21,31.0,1.0
1,32.0,-30.0
11,33.0,-62.0
13,34.0,-95.0
12,34.0,-61.0
18,33.0,-27.0
6,32.0,6.0
12,31.0,38.0
16,30.0,69.0
10,29.0,99.0
15,29.0,70.0
12,29.0,99.0
17,29.0,70.0
16,29.0,99.0
8,28.0,128.0
10,27.0,156.0
15,27.0,129.0
3,28.0,102.0
5,29.0,74.0
19,30.0,45.0
13,31.0,15.0
10,31.0,46.0
13,31.0,15.0
26,31.0,46.0
17,31.0,15.0
8,31.0,46.0
8,30.0,77.0
16,29.0,107.0
15,29.0,78.0
12,29.0,107.0
15,29.0,78.0
16,29.0,107.0
14,28.0,136.0
9,28.0,108.0
